date,Kwartał,flat_price,gold,ounce,usd,flat_price_usd,flat_price_gold,salary,salaries_m2
2006-09-30,III 2006,5873.0,60.72,1882.32,3.14,1870.3821656050955,3.1200858515024015,2611.16,2.249191930023438
2006-12-31,IV 2006,6095.0,59.32,1838.92,2.91,2094.501718213058,3.3144454353642354,3027.51,2.013205571575321
2007-03-31,I 2007,7509.0,61.78,1915.18,2.91,2580.4123711340203,3.9207802921918566,2852.71,2.632233910912781
2007-06-30,II 2007,8000.0,58.42,1811.02,2.8,2857.1428571428573,4.417400139148104,2893.71,2.764617048702185
2007-09-30,III 2007,8740.0,62.89,1949.59,2.66,3285.7142857142853,4.482993860247539,2858.83,3.0571947265139934
2007-12-31,IV 2007,9561.0,65.86,2041.66,2.44,3918.44262295082,4.682954066788789,3246,2.94547134935305
2008-03-31,I 2008,9427.0,67.18,2082.5800000000004,2.23,4227.354260089686,4.526596817409175,3144.41,2.9980187062119765
2008-06-30,II 2008,9300.0,63.16,1957.9599999999998,2.12,4386.792452830188,4.749841671944269,3215.32,2.892402622445044
2008-09-30,III 2008,9235.0,68.8,2132.7999999999997,2.37,3896.6244725738393,4.329988747186797,3171.65,2.9117336402188134
2008-12-31,IV 2008,9821.0,81.29,2519.9900000000002,2.96,3317.9054054054054,3.8972376874511405,3419.82,2.8717885736676196
2009-03-31,I 2009,9880.0,106.76,3309.56,3.54,2790.960451977401,2.9852910960973666,3332.65,2.9646077445876404
2009-06-30,II 2009,9859.0,96.51,2991.81,3.17,3110.094637223975,3.2953295830951834,3287.88,2.998588756280643
2009-09-30,III 2009,9992.960622,91.58,2838.98,2.89,3457.7718415224913,3.5199123001923227,3283.18,3.043683447754921
2009-12-31,IV 2009,9915.277206,100.42,3113.02,2.85,3479.0446336842106,3.185099101836802,3652.4,2.7147292755448476
2010-03-31,I 2010,9118.689939518896,102.31,3171.61,2.87,3177.243881365469,2.8750981172082617,3493.42,2.610247247545069
2010-06-30,II 2010,8550.997477321702,135.57,4202.67,3.39,2522.418134903157,2.0346583189547838,3403.65,2.5123022277031133
2010-09-30,III 2010,8294.768956697,122.87,3808.9700000000003,2.92,2840.674300238699,2.177693433315831,3403.68,2.4370002340693016
2010-12-31,IV 2010,8133.25935402,135.48,4199.88,2.96,2747.7227547364864,1.936545652261493,3847.91,2.113682324695744
2011-03-31,I 2011,8211.0,129.59,4017.29,2.82,2911.7021276595747,2.043915176648935,3633.54,2.259779718951766
2011-06-30,II 2011,8396.152132707304,134.81,4179.11,2.75,3053.1462300753833,2.0090766054751623,3600.47,2.3319600309702078
2011-09-30,III 2011,8025.110844464996,168.29,5216.99,3.26,2461.6904430874224,1.5382645633717904,3581.94,2.2404369823238235
2011-12-31,IV 2011,7826.248643957203,167.97,5207.07,3.42,2288.3767964787144,1.5030043083648201,4015.37,1.9490728485686757
2012-03-31,I 2012,7879.1834327233655,166.45,5159.95,3.12,2525.379305360053,1.5269883298720657,3770.66,2.0896032611594166
2012-06-30,II 2012,8122.658551092201,172.42,5345.0199999999995,3.39,2396.064469348732,1.5196685047188228,3754.48,2.1634576695287233
2012-09-30,III 2012,7874.934938209658,182.71,5664.01,3.18,2476.394634657125,1.3903462278861898,3640.84,2.1629445232994744
2012-12-31,IV 2012,7695.07980873856,164.63,5103.53,3.1,2482.2838092705033,1.507795547148456,4107.95,1.8732165213156344
2013-03-31,I 2013,8076.07662654198,168.42,5221.0199999999995,3.26,2477.3241185711595,1.5468388603265224,3832.81,2.107090261855396
2013-06-30,II 2013,8080.505448298822,131.73,4083.6299999999997,3.32,2433.887183222537,1.9787555308142075,3808.63,2.121630467726931
2013-09-30,III 2013,8145.839737846778,135.06,4186.86,3.12,2610.846069822685,1.9455725144492002,3770.91,2.1601787732528166
2013-12-31,IV 2013,8088.2671955671885,116.89,3623.59,3.01,2687.131958660196,2.232114338423273,4221.5,1.9159699622331372
2014-03-31,I 2014,8005.404656752187,126.45,3919.9500000000003,3.03,2642.047741502372,2.0422211142367086,4017.75,1.9925094037090878
2014-06-30,II 2014,7924.025627651702,129.13,4003.0299999999997,3.05,2598.041189394001,1.9795069304131376,3943.01,2.0096387347868006
2014-09-30,III 2014,7819.356024545944,129.39,4011.0899999999997,3.3,2369.5018256199833,1.9494341998174922,3900.49,2.004711209244465
2014-12-31,IV 2014,7691.358070935864,137.47,4261.57,3.51,2191.2701056797337,1.8048179593285725,4379.26,1.7563145533573854
2015-03-31,I 2015,7839.312622637652,143.66,4453.46,3.81,2057.5623681463653,1.7602746230206743,4214.14,1.8602401967276008
2015-06-30,II 2015,7872.092153953637,142.43,4415.33,3.76,2093.6415303068184,1.7829000672551398,4039.7,1.9486823660058017
2015-09-30,III 2015,7807.0280888208645,137.59,4265.29,3.78,2065.351346248906,1.8303627863101606,4059.19,1.923297034339576
2015-12-31,IV 2015,7788.873947038797,132.23,4099.13,3.9,1997.1471659073839,1.900128550945883,4515.28,1.7250035317939967
2016-03-31,I 2016,7877.688999722974,149.04,4620.24,3.76,2095.130053117812,1.7050389156673622,4351.5,1.8103387337063022
2016-06-30,II 2016,7648.558,169.56,5256.36,3.98,1921.7482412060301,1.4551054341787855,4252.19,1.7987338289210972
2016-09-30,III 2016,7771.718118045363,162.54,5038.74,3.86,2013.3984761775553,1.5423931613945874,4217.96,1.8425300662038906
2016-12-31,IV 2016,7638.064611380712,155.32,4814.92,4.18,1827.2881845408403,1.5863326101743565,4635.77,1.6476366625998942
2017-03-31,I 2017,7706.5293218125225,158.2,4904.2,3.95,1951.0200814715247,1.5714141596616211,4577.86,1.683434906662179
2017-06-30,II 2017,7739.707327057996,148.41,4600.71,3.71,2086.1744816867913,1.6822854140030552,4508.08,1.7168522579585979
